Date,QQQ_Close,QQQ_Volume,^DJI_Close,^DJT_Close,Difference,SMA,STDEV,z_score,EMA
2022-03-04,329.3260803222656,76936300,33614.80078125,15392.41015625,18222.390625,19268.995513916016,572.782762021729,-1.8272283286282134,76453046.9692664
2022-03-07,317.1802062988281,89933800,32817.37890625,14792.9599609375,18024.4189453125,19224.740844726562,612.434202825938,-1.959919765871094,77003281.78684735
2022-03-08,315.7058410644531,116153900,32632.640625,14736.599609375,17896.041015625,19184.187408447266,655.970138537451,-1.963727183823204,78601266.20371072
2022-03-09,327.07061767578125,64723400,33286.25,15142.7802734375,18143.4697265625,19156.855499267578,680.8628693995039,-1.4883845459201606,78034822.68519191
2022-03-10,323.4385986328125,69362700,33174.0703125,15322.0498046875,17852.0205078125,19123.213012695312,718.0859010720901,-1.770251306960551,77680858.49395959
2022-03-11,316.7310485839844,66228400,32944.19140625,15232.9697265625,17711.2216796875,19079.30303955078,760.2427828386377,-1.7995321899078889,77213411.20849185
2022-03-14,310.6482849121094,79802600,32945.23828125,15131.08984375,17814.1484375,19037.886444091797,792.2842845949979,-1.544569329956293,77319092.38365543
2022-03-15,320.39239501953125,76471000,33544.33984375,15519.0703125,18025.26953125,18996.462005615234,809.8522440232894,-1.1992218105619095,77284476.36799602
2022-03-16,332.27471923828125,105243000,34063.1015625,16373.4501953125,17689.6513671875,18934.362091064453,831.8867725661147,-1.4962501688029053,78425640.59787373
2022-03-17,336.2972412109375,67810000,34480.76171875,16583.439453125,17897.322265625,18873.37124633789,834.2062658822223,-1.1700331448369803,77992349.1448993
2022-03-18,343.1806335449219,85446300,34754.9296875,16497.720703125,18257.208984375,18825.322845458984,823.6372690781633,-0.6897622077250493,78296592.03694423
2022-03-21,342.2265319824219,73799100,34552.98828125,16371.5595703125,18181.4287109375,18771.945373535156,807.6382524125182,-0.731164801609765,78113020.93339548
2022-03-22,348.9521484375,63345900,34807.4609375,16513.5703125,18293.890625,18729.814453125,795.8616232753409,-0.5477382190272859,77510281.30346096
2022-03-23,343.937255859375,70615500,34358.5,16214.1298828125,18144.3701171875,18675.718872070312,774.012124765116,-0.686486345474313,77228861.65842173
2022-03-24,351.58184814453125,53555300,34707.94140625,16329.400390625,18378.541015625,18628.230194091797,742.5691861618064,-0.3362503900241147,76262593.835629
2022-03-25,351.28857421875,57584200,34861.23828125,16386.119140625,18475.119140625,18577.39013671875,692.410720759384,-0.1477027911722494,75500210.41376658
2022-03-28,356.7238464355469,56833900,34955.890625,16482.7890625,18473.1015625,18526.23211669922,633.4788836723574,-0.08387107379367438,74738320.19279651
2022-03-29,362.8629150390625,68073000,35294.19140625,16718.5390625,18575.65234375,18486.380950927734,585.773970143989,0.15239904361117623,74466266.30737624
2022-03-30,358.8549499511719,68757700,35228.80859375,16546.849609375,18681.958984375,18453.384704589844,541.0363187775472,0.42247492793388053,74233263.60095271
2022-03-31,354.4070739746094,67011400,34678.3515625,16283.01953125,18395.33203125,18420.548461914062,509.8301103649801,-0.04946045781017213,73938493.65805669
2022-04-01,353.7325744628906,54527800,34818.26953125,15511.2998046875,19306.9697265625,18405.900634765625,475.1967178215807,1.896202263196595,73146220.44752377
2022-04-04,361.0153503417969,45950200,34921.87890625,15500.9599609375,19420.9189453125,18399.06216430664,458.13616036430057,2.2304652402755103,72036178.79660444
2022-04-05,352.9993591308594,62738700,34641.1796875,15065.5,19575.6796875,18407.27178955078,477.0065409615399,2.4494588598176588,71656689.86613078
2022-04-06,345.335205078125,90077100,34496.51171875,14562.6201171875,19933.8916015625,18433.074340820312,534.9567809247375,2.805492544926421,72408543.34098259
2022-04-07,346.1564025878906,63777400,34583.5703125,14603.990234375,19979.580078125,18468.010314941406,596.7791439951335,2.532879673147425,72056251.77604452
2022-04-08,341.3173522949219,61956100,34721.12109375,14470.7197265625,20250.4013671875,18519.326232910156,674.7395749020083,2.5655455803503835,71644000.68314473
2022-04-11,333.2427062988281,66107400,34308.078125,14527.2001953125,19780.8779296875,18562.575927734375,710.0691162402283,1.7157512896828384,71418016.98179188
2022-04-12,331.8349914550781,72790200,34220.359375,14558.16015625,19662.19921875,18587.90902709961,734.7432568908011,1.4621300455297048,71474024.45192282
2022-04-13,338.58013916015625,61367800,34564.58984375,14846.2802734375,19718.3095703125,18622.101470947266,761.4577953674525,1.439617672882636,71061525.49470147
2022-04-14,330.83782958984375,73519400,34451.23046875,14844.1396484375,19607.0908203125,18663.680572509766,778.1251188302957,1.2124145911404336,71161846.903081
2022-04-18,331.0920715332031,58560600,34411.69140625,14798.4296875,19613.26171875,18699.157135009766,795.081581930024,1.149699105746215,70647510.29479197
2022-04-19,338.49224853515625,56515700,34911.19921875,15207.150390625,19704.048828125,18740.18084716797,812.3634834609318,1.1864984093704474,70070701.71133105
2022-04-20,333.555419921875,65500000,35160.7890625,15464.0,19696.7890625,18786.255798339844,823.7801741409094,1.105310970987762,69884142.45780733
2022-04-21,326.65386962890625,75801000,34792.76171875,15410.2197265625,19382.5419921875,18828.697143554688,818.2307486633247,0.6768810015238155,70125646.84728459
2022-04-22,318.1001281738281,82562100,33811.3984375,15067.33984375,18744.05859375,18855.197692871094,800.592353265047,-0.1388210849976725,70633257.18004847
2022-04-25,322.1864013671875,101755900,34049.4609375,15232.419921875,18817.041015625,18876.246795654297,790.0615076504474,-0.07493819083196206,71903569.13188322
2022-04-26,310.0255126953125,105819600,33240.1796875,14748.009765625,18492.169921875,18896.25146484375,771.1696675579285,-0.5239852654583258,73287896.9224186
2022-04-27,309.6540832519531,111204200,33301.9296875,14932.7900390625,18369.1396484375,18916.811401367188,746.9466203801264,-0.7332140450022699,74835501.1296668
2022-04-28,320.651611328125,99450000,33916.390625,15324.1298828125,18592.2607421875,18941.127410888672,722.1463035776352,-0.4830969389067385,75840174.55294572
2022-04-29,306.2227478027344,91977900,32977.2109375,14865.0595703125,18112.1513671875,18943.84246826172,718.7471970898741,-1.157139957472727,76498857.22425406
2022-05-02,311.3354187011719,115511800,33061.5,14910.7099609375,18150.7900390625,18958.253051757812,697.0864502589133,-1.158339847798509,78091222.235509
2022-05-03,311.66778564453125,78185500,33128.7890625,15068.6201171875,18060.1689453125,18963.342010498047,689.646176285537,-1.3096180276820713,78095070.30752903
2022-05-04,322.20599365234375,116083400,34061.05859375,15533.3798828125,18527.6787109375,18971.794189453125,682.331390111933,-0.6508794479508998,79645614.37660947
2022-05-05,305.9783935546875,154607400,32997.96875,15084.099609375,17913.869140625,18963.43295288086,693.8706441298132,-1.5126217273136304,82705279.09593153
2022-05-06,302.31243896484375,139572800,32899.37109375,14900.849609375,17998.521484375,18954.202667236328,704.94089127708,-1.355689809864773,85026402.3981384
2022-05-09,290.4839782714844,113387300,32245.69921875,14470.3603515625,17775.3388671875,18942.670440673828,721.4418093806136,-1.6180536784921415,86183990.05535725
2022-05-10,294.01300048828125,124124600,32160.740234375,14462.2802734375,17698.4599609375,18921.417907714844,748.1200326030972,-1.6347081931786258,87732586.37962839
